PO Number	UPC	Model	ASIN	Description	Sugested Retail	Discount	Cost	Qty Ordered	Qty Confirmed	Delivery beguin date	End Delivery date	Type	Max Delivery Date	Availability/Comment	Error del intento anterior de carga	Vendor Code	DC Delivery	Identificador de consolidación	Condition	PO Date	Freight Term	Payment Method	Special Instructions	Comments	Legal entity identifier	Currency code	External identifier type	Quantity of products per package	Added quantity	Seller Customer ID	Seller SKU List
16TWUSTR	056389081604	8160	B0000AUSCR	Coghlan´s 8160 Pocket Compass	MXN 116.94	25%	MXN 87.71	2	2	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	056389007024	702	B0000AUSNM	Coghlan's 702 G.I. Can Opener, 1 Pair	MXN 47.19	0%	MXN 47.19	1	1	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	687339930040	GF-DTACW-XXL	B0007W2FFY	GoFit Diamond-TAC Wrist Wrap Glove, Padded, Flexible, Supportive Fitness Glove and Training CD, Black/Gray, XXL	MXN 600.60	35%	MXN 389.75	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	056389093072	9307	B000ECO8PM	Coghlan's 9307 ABS Tent Pegs, 6", Pack of 100	MXN 953.45	25%	MXN 715.00	3	3	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	015568905872	9747	B000ECUFG8	Coghlan's 9747 Pack Pillow, 37 cm X 50 cm, Green	MXN 185.42	0%	MXN 185.42	3	3	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	056389099180	9918	B000FAMT9K	Coghlan's portafolios para todo tipo de clima	MXN 54.34	0%	MXN 54.34	1	1	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	056389006607	0660	B000FE8ROC	Coghlan's 0660 Picnic Combo Pack Tablecloth with 6 Clamps	MXN 149.67	0%	MXN 149.67	1	1	08-Jan-2024	22-Jan-2024	Delivered	22-Mar-2024	AC - Accepted: Available		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	072091542189	687339230213	B000G0HMNC	GoFit Tubo de Potencia de Peso Inteligente, Green, 5 LB	MXN 404.59	29%	MXN 289.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	687339230249	687339230249	B000G0HMP0	GoFit Tubo de Potencia de Peso Inteligente, Grey, 20 LB	MXN 483.00	29%	MXN 345.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969808214	350150.0000.05.M	B000IOLG6K	Mizuno 350150.0000.05.M Pantalón de Mujer con Cinturón, Blanco, M	MXN 899.00	0%	MXN 899.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969808320	350150.9191.04.S	B000IOLG7E	Mizuno 350150.9191.04.S Pantalón de Mujer con Cinturón, Gris, S	MXN 899.00	0%	MXN 899.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969807408	350148.9110.07.XL	B000IOOP0Y	Mizuno 350148.9110.07.XL Pantalón Entubado Premier, Gris-Rojo Xl	MXN 974.41	0%	MXN 974.41	7	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969807972	350149.9110.09.XXXL	B000IOOPWC	Mizuno 350149.9110.09.XXXL Pantalón Piper Premier Juvenil, Gris-Rojo, Xxxl	MXN 899.00	0%	MXN 899.00	7	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969808153	350149.9190.06.L	B000IOQELW	Mizuno 350149.9190.06.L Pantalón Piper Premier Juvenil, Negro-Gris, L	MXN 899.00	0%	MXN 899.00	7	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969807194	350148.0051.07.XL	B000IOSB22	Mizuno 350148.0051.07.XL Pantalón Entubado Premier, Blanco-Marino, Xl	MXN 1,019.00	0%	MXN 1,019.00	7	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
