Lifecycle Status,Manufacturer,Part Number,Series,Description,Replacement Part Number,Item #,Bin Location,Installed Quantity,Recommended Spares,Storeroom Quantity,PMA Quantity,P2 Quantity,Stash Quantity,Insufficient Spares,Excess Spares,List Price,Installed Total,Recommended Total,Storeroom Total,PMA Total,P2 Total,Stash Total,Insufficient Total,Excess Total
ACTIVE,ROCKWELL,1734-4IOL,,POINT I/O 4CHANNEL IO-LINK MASTER MODULE,NOT AVAILABLE,,,2,1,0,0,0,0,1,0, $	456 , $	911 , $	456 , $	-   , $	-   , $	-   , $	-   , $	456 , $	-   
ACTIVE,ROCKWELL,1734-AENT,,POINT I/O ETHERNET NETWORK ADAPTOR,NOT AVAILABLE,"69006985, 69008678",,26,2,12,0,0,0,0,10, $	729 ," $	18,950 "," $	1,458 "," $	8,746 ", $	-   , $	-   , $	-   , $	-   ," $	7,289 "
ACTIVE,ROCKWELL,1734-AENTR,,POINT I/O DUAL PORT NETWORK ADAPTOR,NOT AVAILABLE,,,87,2,0,0,0,0,2,0, $	866 ," $	75,380 "," $	1,733 ", $	-   , $	-   , $	-   , $	-   ," $	1,733 ", $	-   
ACTIVE,ROCKWELL,1734-CTM,,POINT I/O COMMON TERMINAL MODULE,NOT AVAILABLE,,,0,0,4,0,0,0,0,4, $	45 , $	-   , $	-   , $	181 , $	-   , $	-   , $	-   , $	-   , $	181 
ACTIVE,ROCKWELL,1734-EP24DC,,POINT I/O EXTENSION POWER MODULE,NOT AVAILABLE,,,52,2,2,0,0,0,0,0, $	270 ," $	14,051 ", $	540 , $	540 , $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,1734-FPD,,POINT I/O FIELD DISTRIBUTOR MODULE,NOT AVAILABLE,,,2,1,0,0,0,0,1,0, $	152 , $	305 , $	152 , $	-   , $	-   , $	-   , $	-   , $	152 , $	-   
ACTIVE,ROCKWELL,1734-IA4,,POINT I/O 4 POINT DIGITAL INPUT MODULE,NOT AVAILABLE,,,2,1,1,0,0,0,0,0, $	195 , $	389 , $	195 , $	195 , $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,1734-IB8,,POINT I/O 8 POINT DIGITAL INPUT MODULE,NOT AVAILABLE,,,172,2,2,0,0,0,0,0, $	165 ," $	28,356 ", $	330 , $	330 , $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,1734-IB8S,,8 CHANNEL SFTY SINKING INP MOD PN-25132,NOT AVAILABLE,,,217,3,0,0,0,0,3,0, $	686 ," $	148,947 "," $	2,059 ", $	-   , $	-   , $	-   , $	-   ," $	2,059 ", $	-   
ACTIVE,ROCKWELL,1734-IE2C,,POINT I/O 2 POINT ANALOG INPUT MODULE,NOT AVAILABLE,,,9,1,0,0,0,0,1,0, $	435 ," $	3,916 ", $	435 , $	-   , $	-   , $	-   , $	-   , $	435 , $	-   
ACTIVE,ROCKWELL,1734-IE2V,,POINT I/O 2 POINT ANALOG INPUT MODULE,NOT AVAILABLE,69007327,,14,1,2,0,0,0,0,1, $	415 ," $	5,813 ", $	415 , $	830 , $	-   , $	-   , $	-   , $	-   , $	415 
ACTIVE,ROCKWELL,1734-IE4C,,POINT I/O 4 POINT ANALOG INPUT MODULE,NOT AVAILABLE,,,2,1,0,0,0,0,1,0, $	690 ," $	1,381 ", $	690 , $	-   , $	-   , $	-   , $	-   , $	690 , $	-   
ACTIVE,ROCKWELL,1734-IK,,POINT I/O INCREMENTAL ENCODER INTERFACE,NOT AVAILABLE,,,1,1,0,0,0,0,1,0, $	390 , $	390 , $	390 , $	-   , $	-   , $	-   , $	-   , $	390 , $	-   
ACTIVE,ROCKWELL,1734-IT2I,,POINT I/O 2 POINT THERMOCOUPLE INPUT,NOT AVAILABLE,,,4,1,1,0,0,0,0,0, $	474 ," $	1,894 ", $	474 , $	474 , $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,1734-OB8,,POINT I/O 8 POINT DIGITAL OUTPUT MODULE,NOT AVAILABLE,,,116,2,3,0,0,0,0,1, $	184 ," $	21,375 ", $	369 , $	553 , $	-   , $	-   , $	-   , $	-   , $	184 
ACTIVE,ROCKWELL,1734-OB8E,,POINT I/O 8 POINT DIGITAL OUTPUT MODULE,NOT AVAILABLE,,,4,1,0,0,0,0,1,0, $	243 , $	972 , $	243 , $	-   , $	-   , $	-   , $	-   , $	243 , $	-   
ACTIVE,ROCKWELL,1734-OB8S,,8 CHANNEL SAFETY SOURCING OUTPUT MODULE,NOT AVAILABLE,,,154,2,1,0,0,0,1,0, $	798 ," $	122,875 "," $	1,596 ", $	798 , $	-   , $	-   , $	-   , $	798 , $	-   
ACTIVE,ROCKWELL,1734-OE2C,,POINT I/O 2 POINT ANALOG OUTPUT MODULE,NOT AVAILABLE,,,8,1,2,0,0,0,0,1, $	447 ," $	3,580 ", $	447 , $	895 , $	-   , $	-   , $	-   , $	-   , $	447 
