Action day,Created on,Last update,Campaign name,Status,Platform,Keyword,Ad impressions,Ad clicks,CTR,Site sessions,Unique visitors,Total orders,Total sales,Average order value,Order conversion rate,Amount spent,ROAS,CPC,CPA
2023-12-08,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,728,32,4.40%,0,0,0,0.00,0.00,0.00%,3.32,0.00%,0.10,0.00
2023-12-05,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,710,34,4.79%,0,0,0,0.00,0.00,0.00%,3.26,0.00%,0.10,0.00
2023-12-06,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,708,45,6.36%,0,0,0,0.00,0.00,0.00%,3.13,0.00%,0.07,0.00
2023-12-04,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,672,44,6.55%,0,0,0,0.00,0.00,0.00%,3.43,0.00%,0.08,0.00
2023-12-07,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,656,40,6.10%,0,0,0,0.00,0.00,0.00%,3.05,0.00%,0.08,0.00
2023-12-10,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,647,45,6.96%,0,0,0,0.00,0.00,0.00%,3.37,0.00%,0.07,0.00
2023-11-30,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,638,37,5.80%,0,0,0,0.00,0.00,0.00%,3.02,0.00%,0.08,0.00
2023-12-01,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,622,47,7.56%,0,0,0,0.00,0.00,0.00%,3.16,0.00%,0.07,0.00
2023-12-02,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,604,35,5.79%,0,0,0,0.00,0.00,0.00%,3.64,0.00%,0.10,0.00
2023-12-09,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,601,45,7.49%,0,0,0,0.00,0.00,0.00%,3.25,0.00%,0.07,0.00
2023-12-11,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,588,38,6.46%,0,0,0,0.00,0.00,0.00%,3.87,0.00%,0.10,0.00
2023-11-29,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,574,27,4.70%,0,0,0,0.00,0.00,0.00%,2.79,0.00%,0.10,0.00
2023-12-12,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,569,30,5.27%,0,0,0,0.00,0.00,0.00%,3.13,0.00%,0.10,0.00
2023-12-13,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,546,22,4.03%,0,0,0,0.00,0.00,0.00%,2.97,0.00%,0.14,0.00
2023-12-15,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,500,26,5.20%,0,0,0,0.00,0.00,0.00%,2.31,0.00%,0.09,0.00
2023-12-14,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,447,22,4.92%,0,0,0,0.00,0.00,0.00%,2.59,0.00%,0.12,0.00
2023-12-03,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Facebook Ads with Wix,_,417,22,5.28%,0,0,0,0.00,0.00,0.00%,2.06,0.00%,0.09,0.00
2023-11-30,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,93,5,5.38%,0,0,0,0.00,0.00,0.00%,0.93,0.00%,0.19,0.00
2023-12-01,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,72,2,2.78%,0,0,0,0.00,0.00,0.00%,0.33,0.00%,0.17,0.00
2023-12-04,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,58,0,0.00%,0,0,0,0.00,0.00,0.00%,0.17,0.00%,0.00,0.00
2023-12-08,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,53,0,0.00%,0,0,0,0.00,0.00,0.00%,0.16,0.00%,0.00,0.00
2023-12-02,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,51,1,1.96%,0,0,0,0.00,0.00,0.00%,0.18,0.00%,0.18,0.00
2023-12-09,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,48,1,2.08%,0,0,0,0.00,0.00,0.00%,0.17,0.00%,0.17,0.00
2023-11-29,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,45,2,4.44%,0,0,0,0.00,0.00,0.00%,0.45,0.00%,0.23,0.00
2023-12-11,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,42,0,0.00%,0,0,0,0.00,0.00,0.00%,0.11,0.00%,0.00,0.00
2023-12-03,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,38,0,0.00%,0,0,0,0.00,0.00,0.00%,0.08,0.00%,0.00,0.00
2023-12-05,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,36,0,0.00%,0,0,0,0.00,0.00,0.00%,0.08,0.00%,0.00,0.00
2023-12-10,2023-08-16,2023-11-27,Campaign for OUTCOME_SALES,ACTIVE,Instagram Ads with Wix,_,35,0,0.00%,0,0,0,0.00,0.00,0.00%,0.13,0.00%,0.00,0.00
