ID Customer,Zone,Country,Product,Sales Channel,Priority,Date Order,Order ID,Send Date,units, Unit Price, Unit Cost, Total Sales, Total Cost, Benefit
C2421,Europe,United Kingdom,Flour,Offline,Critical,10/12/2020,242113196,11/30/2020,5530,  152.58 € ,  97.44 € ,"  843,767.40 € ","  538,843.20 € ",  55.14 € 
C1908,Europe,Malta,Meat,Online,High,1/26/2020,190800607,1/28/2020,994,  421.89 € ,  364.69 € ,"  419,358.66 € ","  362,501.86 € ",  57.20 € 
C7652,Australia and Oceania,Marshall Islands,Oatmeal,Online,Critical,11/9/2020,765228068,11/21/2020,6845,  205.70 € ,  117.11 € ,"  1,408,016.50 € ","  801,617.95 € ",  88.59 € 
C2326,Africa,Iran,Orange,Offline,Low,8/21/2021,232631909,10/2/2021,9806,  9.33 € ,  6.92 € ,"  91,489.98 € ","  67,857.52 € ",  2.41 € 
C5305,Central America and Caribbean,Guatemala,Soy,Offline,Medium,9/30/2022,530560958,11/12/2022,3633,  255.28 € ,  159.42 € ,"  927,432.24 € ","  579,172.86 € ",  95.86 € 
C5168,Central America and Caribbean,Grenada,Came,Offline,Low,1/21/2022,516876542,2/21/2022,4110,  47.45 € ,  31.79 € ,"  195,019.50 € ","  130,656.90 € ",  15.66 € 
C9197,Australia and Oceania,Fiji,Flour,Offline,Medium,2/17/2022,919752490,2/27/2022,4056,  152.58 € ,  97.44 € ,"  618,864.48 € ","  395,216.64 € ",  55.14 € 
C2876,Africa,Tunisia ,Corn,Offline,Medium,3/21/2020,287675130,5/7/2020,8319,  437.20 € ,  263.33 € ,"  3,637,066.80 € ","  2,190,642.27 € ",  173.87 € 
C8394,Central America and Caribbean,Grenada,Lemon,Offline,Critical,2/13/2021,839443290,4/1/2021,8779,  81.73 € ,  56.67 € ,"  717,507.67 € ","  497,505.93 € ",  25.06 € 
C8141,Australia and Oceania,Australia,Fish,Online,Medium,6/15/2021,814168298,7/12/2021,9347,  651.21 € ,  524.96 € ,"  6,086,859.87 € ","  4,906,801.12 € ",  126.25 € 
C3212,North America,Greenland,Corn,Online,High,7/15/2022,321273982,8/30/2022,966,  437.20 € ,  263.33 € ,"  422,335.20 € ","  254,376.78 € ",  173.87 € 
