City,Population
Los Angeles,"3,822,238"
San Diego,"1,381,162"
San Jose,"971,233"
San Francisco,"808,437"
Fresno,"545,567"
Sacramento,"528,001"
Long Beach,"451,307"
Oakland,"430,553"
Bakersfield,"410,647"
Anaheim,"344,461"
Stockton,"321,819"
Riverside,"320,764"
Irvine,"313,685"
Santa Ana,"308,189"
Chula Vista,"279,170"
Fremont,"223,871"
Santa Clarita,"221,345"
San Bernardino,"220,328"
Modesto,"218,069"
Fontana,"212,475"
Moreno Valley,"211,924"
Oxnard,"200,415"
Huntington Beach,"194,310"
Glendale,"189,221"
Ontario,"179,061"
Elk Grove,"177,558"
Santa Rosa,"177,181"
Rancho Cucamonga,"176,336"
Oceanside,"172,199"
Garden Grove,"169,254"
Lancaster,"169,185"
Palmdale,"163,463"
Salinas,"161,020"
Corona,"159,567"
Hayward,"156,754"
Roseville,"154,817"
Sunnyvale,"153,091"
Escondido,"150,270"
Pomona,"146,017"
Visalia,"143,966"
Torrance,"141,126"
Fullerton,"140,541"
Victorville,"137,221"
Orange,"136,178"
Pasadena,"134,211"
Santa Clara,"126,930"
Clovis,"124,556"
Simi Valley,"124,398"
Thousand Oaks,"124,265"
Vallejo,"123,564"
Concord,"122,625"
Fairfield,"119,338"
East Los Angeles,"118,964"
Berkeley,"118,950"
Antioch,"115,264"
Richmond,"114,301"
Carlsbad,"114,160"
Murrieta,"113,783"
Temecula,"111,752"
Santa Maria,"110,125"
Downey,"109,934"
San Buenaventura (Ventura),"109,527"
Costa Mesa,"109,521"
Menifee,"109,399"
Jurupa Valley,"107,609"
El Monte,"105,312"
West Covina,"105,013"
El Cajon,"104,414"
Burbank city,"103,920"
Inglewood,"103,621"
Rialto,"103,545"
Vacaville,"101,918"
Chico,"101,299"
San Mateo,"100,984"
Hesperia,"100,744"
Daly City,"100,007"
Norwalk,"98,537"
Vista,"97,766"
Tracy,"97,328"
Arden-Arcade,"95,909"
San Marcos,"94,854"
Chino,"93,140"
Redding,"92,906"
Carson,"92,388"
Compton,"91,988"
Indio,"91,980"
Mission Viejo,"91,776"
Merced,"91,563"
South Gate,"90,926"
Hemet,"90,689"
Santa Monica,"89,947"
Westminster,"89,397"
Santa Barbara,"87,533"
Manteca,"86,928"
San Leandro,"86,762"
Citrus Heights,"86,433"
San Ramon,"85,953"
Lake Forest,"85,638"
Livermore,"84,701"
