KeyMonth	calendar_date	Country	Key	Local	ownerships	GCS NGK	GCS Counter 	GAP Capacity 20	GAP Capacity 30	Installed Capacity 20	Installed Capacity 30	Category	Classification Number	Screen Cases	Classification	Screens	Counter Participation	NGK Participation	Annual Ranking	Performance	Total GCS	Type of Store	Special Day Hour Order	Daypart Hour Description	Ownerships Order	RankingMonth	Year	Quarter	Month	Day
ECUADOR-SMR-01/03/2023	1/3/2023 0:00	ECUADOR	ECUADOR-SMR	SMR	A	26	15	-94	-154	120	180	Less than 5 GCs	4	with GCs and Screens	Locations with Oportunity	6	36,59 %	63,41 %	581	4,33	41	FS	14	21:00 22:00	1	50	2023	Qtr 1	March	1
PERU-MDS-01/03/2023	1/3/2023 0:00	PERU	PERU-MDS	MDS	A	46	15	-14	-44	60	90	Between 15 and 20 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	24,59 %	75,41 %	562	15,33	61	FC	13	20:00 21:00	1	50	2023	Qtr 1	March	1
PERU-PLN-01/03/2023	1/3/2023 0:00	PERU	PERU-PLN	PLN	A	31	25	-9	-29	40	60	Between 15 and 20 GCs	4	with GCs and Screens	Locations with Oportunity	2	44,64 %	55,36 %	498	15,50	56	FC	13	20:00 21:00	1	50	2023	Qtr 1	March	1
URUGUAY-PRO-01/03/2023	1/3/2023 0:00	URUGUAY	URUGUAY-PRO	PRO	A	86	3	-34	-94	120	180	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	6	3,37 %	96,63 %	318	14,33	89	FS	23	22:00 23:00	1	50	2023	Qtr 1	March	1
COLOMBIA-ANT-01/03/2023	3/3/2023 0:00	COLOMBIA	COLOMBIA-ANT	ANT	A	32	1	-28	-58	60	90	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	3,03 %	96,97 %	389	10,67	33	MS	13	20:00 21:00	1	50	2023	Qtr 1	March	1
COLOMBIA-C53-01/03/2023	3/3/2023 0:00	COLOMBIA	COLOMBIA-C53	C53	A	26	3	-54	-94	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	10,34 %	89,66 %	318	6,50	29	FS	15	22:00 23:00	1	50	2023	Qtr 1	March	1
COLOMBIA-ENV-01/03/2023	3/3/2023 0:00	COLOMBIA	COLOMBIA-ENV	ENV	A	35	6	-5	-25	40	60	Between 15 and 20 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	2	14,63 %	85,37 %	507	17,50	41	MS	12	19:00 20:00	1	50	2023	Qtr 1	March	1
ECUADOR-DUR-01/03/2023	3/3/2023 0:00	ECUADOR	ECUADOR-DUR	DUR	A	30	8	-30	-60	60	90	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	21,05 %	78,95 %	50	10,00	38	FS	6	13:00 14:00	1	22	2023	Qtr 1	March	1
PERU-PUR-01/03/2023	3/3/2023 0:00	PERU	PERU-PUR	PUR	A	29	8	-31	-61	60	90	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	21,62 %	78,38 %	660	9,67	37	FC	14	21:00 22:00	1	50	2023	Qtr 1	March	1
COLOMBIA-P93-01/03/2023	4/3/2023 0:00	COLOMBIA	COLOMBIA-P93	P93	A	46	5	-114	-194	160	240	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	8	9,80 %	90,20 %	462	5,75	51	FS	16	23:00 00:00	1	50	2023	Qtr 1	March	1
PERU-JO1-01/03/2023	4/3/2023 0:00	PERU	PERU-JO1	JO1	A	47	16	-133	-223	180	270	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	9	25,40 %	74,60 %	870	5,22	63	MS	13	20:00 21:00	1	50	2023	Qtr 1	March	1
