Country	Channel Name	Category	Main Video Category	username	followers	Main topic	More topics	Likes	Boost Index	Engagement Rate	Engagement Rate 60days	Views	Views Avg.	Avg. 1 Day	Avg. 3 Day	Avg. 7 Day	Avg. 14 Day	Avg. 30 day	Avg. 60 day	Comments Avg	Youtube Link
US	ABCkidTV - Nursery Rhymes	Gaming & Apps	Education	ABCkidTV - Nursery Rhymes	138000000	Movies	Entertainment,Music,Movies	220990134.604534	63	0.6417156982623298	0.1160036838833879	133025325473	70271260.25	1837916.0	1837916.0	4891832.0	7052576.5	12654329.666666666	15722844.705882354	146.70025188916875	UCbCmjCuTUZos6Inko4u57UQ
US	PewDiePie	Gaming & Apps	Gaming	PewDiePie	111000000	Lifestyle	Gaming,Action game,Lifestyle,Action-adventure game	2191405541.9968915	88	0.0634261274518041	0.0448460750046678	28424113942	7718344.847222222			3497395.0	3094440.4	3620273.5	4454119.625	35839.78134715026	UC-lHJZR3Gqxm24_Vd_AJ5Yw
US	MrBeast	Gaming & Apps	Entertainment	MrBeast	98100000	Lifestyle	Entertainment,Lifestyle,Technology	1731833460.8526316	60	0.7292095495953983	0.5702702245292129	16242634269	98762497.25			29941021.0	29941021.0	29941021.0	53434733.0	113432.37368421051	UCX6OQ3DkcsbYNE6H8uQQuVA
US	Like Nastya		People & Blogs	Like Nastya	97300000	Hobby	Lifestyle,Hobby	280877652.3913044	79	1.0267606736835264	0.2313880596385324	80111555805	138163704.5		3946868.0	5829929.0	9480138.25	13756907.666666666	22108751.05263158	0.2924901185770751	UCJplp5SjeGSdVdwsfb9Q7lQ
US	✿ Kids Diana Show	Gaming & Apps	Entertainment	✿ Kids Diana Show	97200000	Lifestyle	Lifestyle,Hobby	235190437.5142315	67	0.690341775052514	0.2438531204508441	77340155581	86417353.25			7539489.5	9148087.75	14347388.625	23467097.444444444	0.0	UCk8GzjMOrta8yxDcKfylJYw
US	ABCkidTV - Nursery Rhymes	Gaming & Apps	Education	ABCkidTV - Nursery Rhymes	138000000	Movies	Entertainment,Music,Movies	220990134.604534	63	0.6417156982623298	0.1160036838833879	133025325473	70271260.25	1837916.0	1837916.0	4891832.0	7052576.5	12654329.666666666	15722844.705882354	146.70025188916875	UCbCmjCuTUZos6Inko4u57UQ
US	PewDiePie	Gaming & Apps	Gaming	PewDiePie	111000000	Lifestyle	Gaming,Action game,Lifestyle,Action-adventure game	2191405541.9968915	88	0.0634261274518041	0.0448460750046678	28424113942	7718344.847222222			3497395.0	3094440.4	3620273.5	4454119.625	35839.78134715026	UC-lHJZR3Gqxm24_Vd_AJ5Yw
US	MrBeast	Gaming & Apps	Entertainment	MrBeast	98100000	Lifestyle	Entertainment,Lifestyle,Technology	1731833460.8526316	60	0.7292095495953983	0.5702702245292129	16242634269	98762497.25			29941021.0	29941021.0	29941021.0	53434733.0	113432.37368421051	UCX6OQ3DkcsbYNE6H8uQQuVA
US	Like Nastya		People & Blogs	Like Nastya	97300000	Hobby	Lifestyle,Hobby	280877652.3913044	79	1.0267606736835264	0.2313880596385324	80111555805	138163704.5		3946868.0	5829929.0	9480138.25	13756907.666666666	22108751.05263158	0.2924901185770751	UCJplp5SjeGSdVdwsfb9Q7lQ
US	✿ Kids Diana Show	Gaming & Apps	Entertainment	✿ Kids Diana Show	97200000	Lifestyle	Lifestyle,Hobby	235190437.5142315	67	0.690341775052514	0.2438531204508441	77340155581	86417353.25			7539489.5	9148087.75	14347388.625	23467097.444444444	0.0	UCk8GzjMOrta8yxDcKfylJYw
US	Vlad and Niki		Entertainment	Vlad and Niki	83500000	Hobby	Lifestyle,Hobby	146245435.4059406	82	0.9763812137605976	0.1210662691172111	65143080313	108949716.5		4354700.0	3010898.0	3141540.75	6909962.375	9793168.6	0.0	UCvlE5gTbOvjiolFlEm-c_Ow
US	5-Minute Crafts	Gaming & Apps	Howto & Style	5-Minute Crafts	77000000	Lifestyle	Lifestyle,Hobby	158230212.5052886	73	0.0300607710533648	0.0051561705182931	22655274758	2045771.3664874556	60823.0	84666.0	112501.09523809524	170384.58536585365	216460.31764705884	367451.0120481928	726.3124811121185	UC295-Dw_tDNtZXFeAPAW6Aw
US	Pinkfong Baby Shark - Kids' Songs & Stories	Music	Education	Pinkfong Baby Shark - Kids' Songs & Stories	58700000	Music	Entertainment,Music,Movies	17219955.003514938	67	0.0347361655253584	0.0160457960718309	31514954950	1353212.7272727273	8062.0	91807.25	152501.88888888888	188689.0625	903627.5	934502.1898734176	5.00439367311072	UCcdwLMPsaU2ezNSJU1nFoBQ
US	Dude Perfect	Gaming & Apps	Sports	Dude Perfect	57800000	Lifestyle	Lifestyle	244293352.89626557	82	0.9034190270499216	0.4385109202142169	14560770809	62768767.25			7017878.0	7017878.0	33821451.666666664	24476021.4	36144.07883817428	UCRijo3ddMTht_IHyNSNXpNQ
US	Movieclips	Gaming & Apps	Film & Animation	Movieclips	57300000	Movies	Entertainment,Movies	39953044.14992679	72	0.0026005667886373	0.002025743307597	58434633172	81556.0713562753	2206.2	2206.2	8792.666666666666	35615.544117647056	86779.78205128205	114986.92063492064	65.46459463421786	UC3gNmTGu-TTbFPpfSs5kNkg
US	Marshmello	Music	Music	Marshmello	55500000	Electronic music	Music,Hip hop music,Pop music,Electronic music	51156331.514925376	73	0.1114473013984133	0.0054349074223477	13279526225	2716910.5				85746.0	162863.5	167606.5	5497.365671641791	UCEdvpU2pFRCVqU6yIPyTpMQ
US	LooLoo Kids - Nursery Rhymes and Children's Songs	Music	Music	LooLoo Kids - Nursery Rhymes and Children's Songs	49400000	Entertainment	Music,Movies,Entertainment	25323367.15286624	66	0.2328456655820742	0.0197116458908171	28700714072	18526700.5		62846.0	206363.5	176466.625	371785.1363636364	927003.6	29.627388535031848	UC4NALVCmcmL5ntpV0thoH6w
US	JuegaGerman	Gaming & Apps	Gaming	JuegaGerman	45900000	Gaming	Gaming,Action game,Action-adventure game,Entertainment	641782272.754717	82	0.0953030218191668	0.0653533534168384	13594315965	5479511.75			3191661.6666666665	2530465.1428571427	2008041.5714285716	2644449.714285714	25812.18867924528	UCYiGq8XF7YQD00x7wAd62Zg
US	Billie Eilish	Gaming & Apps	Music	Billie Eilish	45900000	Music	Independent music,Music,Pop music	37371320.82142857	16	0.5631284655446878	0.0185098377684407	11810491835	18540721.25	0.0	0.0	0.0	0.0	0.0	0.0	37181.53571428572	UCiGm_E4ZwYSHV3bcW1pnSeQ
US	BRIGHT SIDE	Science & Tech	Howto & Style	BRIGHT SIDE	43700000	Lifestyle	Entertainment,Lifestyle,Movies	36932146.776236586	68	0.0114371937629994	0.0022514362128582	9969944772	395681.02124505927	31853.0	50485.57142857143	50726.31578947369	53092.58536585366	64779.45555555556	89134.58192090396	950.0900287882752	UC4rlAVgAK0SGk-yTfe48Qpw
US	Katy Perry	Gaming & Apps	Music	Katy Perry	43000000	Music	Music,Pop music	5322828.25862069	57	0.0328029647153167	0.0036615314755412	23815643998	1049132.0						109411.25	2540.344827586207	UCYvmuw-JtVrTZQ-7Y4kd63Q
US	Like Nastya Show		Entertainment	Like Nastya Show	41300000	Lifestyle	Music,Lifestyle,Hobby	39269151.59533074	80	0.3795535108958838	0.0080667858320535	18673777146	15267910.666666666		17459.0	233881.0	144042.0	164313.6923076923	266031.5	0.0	UCS94J1s6-qc8v7btCdS2pNg
US	Little Baby Bum - Nursery Rhymes & Kids Songs	Music	Education	Little Baby Bum - Nursery Rhymes & Kids Songs	39200000	Entertainment	Entertainment,Music,Movies	5749294.193817878	78	0.0221789286992992	0.0184218931971802	36748994170	792125.3333333333	25032.5	69746.75	268456.05	410841.6341463415	426330.2878787879	719102.0495867769	11.811194653299916	UCKAqou7V9FAWXpZd9xtOg3Q
US	TheEllenShow		Entertainment	TheEllenShow	38300000	Entertainment	Entertainment,TV shows,Movies	167231088.84348023	81	0.0145730939619584	0.0123300931878722	22274035516	383303.09364548494		12162.8	13738.047619047618	41222.10526315789	61318.82191780822	460233.900990099	332.9654702407996	UCp0hYYBW6IMayGgR-WeoCvQ
US	xxxtentacion		Music	xxxtentacion	37400000	Hip hop music	Music,Hip hop music,Pop music,Electronic music	33550305.397590365	65	0.1648996322364008	0.0383111462964156	9632080442	6642087.75					480777.8888888889	1147972.6666666667	18591.939759036144	UCM9r1xn6s30OnlJWb-jc3Sw
US	Kimberly Loaiza	Gaming & Apps	People & Blogs	Kimberly Loaiza	36900000	Lifestyle	Lifestyle,Technology	240742149.41860464	69	0.5432478694253122	0.2826760256612255	4188413314	25171683.25			6833904.0	7232641.0	6437136.0	9154056.166666666	96580.6046511628	UCQZfFRohQ7UX-0CdXl-6pwQ
US	Daddy Yankee	Music	Music	Daddy Yankee	36600000	Pop music	Music,Hip hop music,Electronic music,Music of Latin America,Pop music	188506752.48484847	72	1.733848590613611	0.0156997770050229	20194962867	34904111.25					70521.0	98956.0	17001.939393939392	UC9TO_oo4c_LrOiKNaY6aysA
US	Toys and Colors		Entertainment	Toys and Colors	36300000	Lifestyle	Hobby,Lifestyle,Entertainment	50988592.12030075	79	0.6518068848153442	0.0942885562183696	40261342099	27828993.05		397653.0	337525.6666666667	1325536.7142857143	2690516.066666667	3359176.966666667	0.0	UCgFXm4TI8htWmCyJ6cVPG_A
US	ABCkidTV - Nursery Rhymes	Gaming & Apps	Education	ABCkidTV - Nursery Rhymes	138000000	Movies	Entertainment,Music,Movies	220990134.604534	63	0.6417156982623298	0.1160036838833879	133025325473	70271260.25	1837916.0	1837916.0	4891832.0	7052576.5	12654329.666666666	15722844.705882354	146.70025188916875	UCbCmjCuTUZos6Inko4u57UQ
US	PewDiePie	Gaming & Apps	Gaming	PewDiePie	111000000	Lifestyle	Gaming,Action game,Lifestyle,Action-adventure game	2191405541.9968915	88	0.0634261274518041	0.0448460750046678	28424113942	7718344.847222222			3497395.0	3094440.4	3620273.5	4454119.625	35839.78134715026	UC-lHJZR3Gqxm24_Vd_AJ5Yw
US	MrBeast	Gaming & Apps	Entertainment	MrBeast	98100000	Lifestyle	Entertainment,Lifestyle,Technology	1731833460.8526316	60	0.7292095495953983	0.5702702245292129	16242634269	98762497.25			29941021.0	29941021.0	29941021.0	53434733.0	113432.37368421051	UCX6OQ3DkcsbYNE6H8uQQuVA
US	Like Nastya		People & Blogs	Like Nastya	97300000	Hobby	Lifestyle,Hobby	280877652.3913044	79	1.0267606736835264	0.2313880596385324	80111555805	138163704.5		3946868.0	5829929.0	9480138.25	13756907.666666666	22108751.05263158	0.2924901185770751	UCJplp5SjeGSdVdwsfb9Q7lQ
US	✿ Kids Diana Show	Gaming & Apps	Entertainment	✿ Kids Diana Show	97200000	Lifestyle	Lifestyle,Hobby	235190437.5142315	67	0.690341775052514	0.2438531204508441	77340155581	86417353.25			7539489.5	9148087.75	14347388.625	23467097.444444444	0.0	UCk8GzjMOrta8yxDcKfylJYw
US	Vlad and Niki		Entertainment	Vlad and Niki	83500000	Hobby	Lifestyle,Hobby	146245435.4059406	82	0.9763812137605976	0.1210662691172111	65143080313	108949716.5		4354700.0	3010898.0	3141540.75	6909962.375	9793168.6	0.0	UCvlE5gTbOvjiolFlEm-c_Ow
US	5-Minute Crafts	Gaming & Apps	Howto & Style	5-Minute Crafts	77000000	Lifestyle	Lifestyle,Hobby	158230212.5052886	73	0.0300607710533648	0.0051561705182931	22655274758	2045771.3664874556	60823.0	84666.0	112501.09523809524	170384.58536585365	216460.31764705884	367451.0120481928	726.3124811121185	UC295-Dw_tDNtZXFeAPAW6Aw
US	Pinkfong Baby Shark - Kids' Songs & Stories	Music	Education	Pinkfong Baby Shark - Kids' Songs & Stories	58700000	Music	Entertainment,Music,Movies	17219955.003514938	67	0.0347361655253584	0.0160457960718309	31514954950	1353212.7272727273	8062.0	91807.25	152501.88888888888	188689.0625	903627.5	934502.1898734176	5.00439367311072	UCcdwLMPsaU2ezNSJU1nFoBQ
US	Dude Perfect	Gaming & Apps	Sports	Dude Perfect	57800000	Lifestyle	Lifestyle	244293352.89626557	82	0.9034190270499216	0.4385109202142169	14560770809	62768767.25			7017878.0	7017878.0	33821451.666666664	24476021.4	36144.07883817428	UCRijo3ddMTht_IHyNSNXpNQ
US	Movieclips	Gaming & Apps	Film & Animation	Movieclips	57300000	Movies	Entertainment,Movies	39953044.14992679	72	0.0026005667886373	0.002025743307597	58434633172	81556.0713562753	2206.2	2206.2	8792.666666666666	35615.544117647056	86779.78205128205	114986.92063492064	65.46459463421786	UC3gNmTGu-TTbFPpfSs5kNkg
US	Marshmello	Music	Music	Marshmello	55500000	Electronic music	Music,Hip hop music,Pop music,Electronic music	51156331.514925376	73	0.1114473013984133	0.0054349074223477	13279526225	2716910.5				85746.0	162863.5	167606.5	5497.365671641791	UCEdvpU2pFRCVqU6yIPyTpMQ
US	LooLoo Kids - Nursery Rhymes and Children's Songs	Music	Music	LooLoo Kids - Nursery Rhymes and Children's Songs	49400000	Entertainment	Music,Movies,Entertainment	25323367.15286624	66	0.2328456655820742	0.0197116458908171	28700714072	18526700.5		62846.0	206363.5	176466.625	371785.1363636364	927003.6	29.627388535031848	UC4NALVCmcmL5ntpV0thoH6w
US	JuegaGerman	Gaming & Apps	Gaming	JuegaGerman	45900000	Gaming	Gaming,Action game,Action-adventure game,Entertainment	641782272.754717	82	0.0953030218191668	0.0653533534168384	13594315965	5479511.75			3191661.6666666665	2530465.1428571427	2008041.5714285716	2644449.714285714	25812.18867924528	UCYiGq8XF7YQD00x7wAd62Zg
